,,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Servicios audiovisuales,,1166.31,1397.55,940.65,0.00,1309.96,1465.42,1002.01,1501.45,1389.87,1594.20,1106.80,1606.74,1409.29,1572.56,1058.75,1421.03,1192.44,1195.20,869.03,1205.68,1040.08,1160.79,874.44,1136.96,1019.97,1059.25,848.73,1068.46,929.79,951.07,754.23,934.20,825.74,883.79,703.97,936.14,804.06,903.01,773.04,1005.38,917.62,1020.48,826.30,1023.09,950.00,1078.37,881.17,1135.67,1056.79,1125.06,952.82,1199.15,1059.14,1162.09,930.10,1184.54,1077.10,1139.76,931.73,1207.14,1000.66,815.10,900.62,1135.65,910.40,
,,--,--,--,--,12.3%,4.9%,6.5%,--,6.1%,8.8%,10.5%,7.0%,1.4%,-1.4%,-4.3%,-11.6%,-15.4%,-24.0%,-17.9%,-15.2%,-12.8%,-2.9%,0.6%,-5.7%,-1.9%,-8.7%,-2.9%,-6.0%,-8.8%,-10.2%,-11.1%,-12.6%,-11.2%,-7.1%,-6.7%,0.2%,-2.6%,2.2%,9.8%,7.4%,14.1%,13.0%,6.9%,1.8%,3.5%,5.7%,6.6%,11.0%,11.2%,4.3%,8.1%,5.6%,0.2%,3.3%,-2.4%,-1.2%,1.7%,-1.9%,0.2%,1.9%,-7.1%,-28.5%,-3.3%,-5.9%,-9.0%,
Venta y alquiler de terminales,,521.10,558.06,520.59,0.00,565.99,579.17,532.45,589.74,531.79,522.92,405.36,514.21,371.79,395.94,379.16,491.56,362.16,370.07,399.42,540.36,384.84,419.11,428.41,540.38,502.26,477.30,422.49,503.97,474.18,467.25,427.43,540.02,414.93,516.84,541.25,636.53,536.02,486.80,449.31,607.78,541.20,563.82,524.78,616.13,500.44,498.83,490.87,572.05,441.25,452.37,484.29,570.67,492.09,480.56,488.29,546.57,465.21,443.04,441.32,484.27,383.05,324.60,386.50,436.99,430.03,
,,--,--,--,--,8.6%,3.8%,2.3%,--,-6.0%,-9.7%,-23.9%,-12.8%,-30.1%,-24.3%,-6.5%,-4.4%,-2.6%,-6.5%,5.3%,9.9%,6.3%,13.3%,7.3%,0.0%,30.5%,13.9%,-1.4%,-6.7%,-5.6%,-2.1%,1.2%,7.2%,-12.5%,10.6%,26.6%,17.9%,29.2%,-5.8%,-17.0%,-4.5%,1.0%,15.8%,16.8%,1.4%,-7.5%,-11.5%,-6.5%,-7.2%,-11.8%,-9.3%,-1.3%,-0.2%,11.5%,6.2%,0.8%,-4.2%,-5.5%,-7.8%,-9.6%,-11.4%,-17.7%,-26.7%,-12.4%,-9.8%,12.3%,
Otros,,245.95,268.31,234.41,0.00,228.52,267.11,273.11,279.00,244.56,222.34,223.85,270.96,267.02,301.19,457.06,343.31,357.02,314.71,266.29,512.70,327.59,305.42,373.87,418.99,304.21,309.32,278.47,394.17,251.89,203.14,216.10,291.44,216.42,228.70,267.86,395.35,240.05,233.54,215.48,333.85,210.62,251.03,296.79,312.90,256.51,266.90,312.86,377.19,296.79,315.26,294.98,352.48,257.82,292.06,264.81,365.52,339.61,374.80,338.21,420.96,310.47,284.08,284.30,340.92,279.64,
,,--,--,--,--,-7.1%,-0.4%,16.5%,--,7.0%,-16.8%,-18.0%,-2.9%,9.2%,35.5%,104.2%,26.7%,33.7%,4.5%,-41.7%,49.3%,-8.2%,-3.0%,40.4%,-18.3%,-7.1%,1.3%,-25.5%,-5.9%,-17.2%,-34.3%,-22.4%,-26.1%,-14.1%,12.6%,24.0%,35.7%,10.9%,2.1%,-19.6%,-15.6%,-12.3%,7.5%,37.7%,-6.3%,21.8%,6.3%,5.4%,20.5%,15.7%,18.1%,-5.7%,-6.6%,-13.1%,-7.4%,-10.2%,3.7%,31.7%,28.3%,27.7%,15.2%,-8.6%,-24.2%,-15.9%,-19.0%,-9.9%,
Total,,7610.59,8158.94,7765.94,0.00,8041.86,8435.88,8207.20,8784.47,8649.49,9100.74,8574.07,9216.68,8854.29,9158.19,8793.75,9022.48,8418.38,8436.58,8156.72,8748.79,8025.99,8243.88,8061.93,8281.97,7842.34,7893.89,7678.09,7857.63,7294.14,7156.89,6903.06,7082.75,6534.01,6664.98,6451.23,6742.71,6190.27,6162.57,5944.42,6359.17,5959.72,6123.11,6006.46,6229.64,5935.20,6136.70,6036.61,6352.95,6043.01,6240.78,6160.90,6460.87,6128.52,6327.70,6069.37,6410.50,6158.52,6210.32,6004.14,6382.38,5881.76,5509.96,5752.70,6031.56,5668.45,
,,--,--,--,--,5.7%,3.4%,5.7%,--,7.6%,7.9%,4.5%,4.9%,2.4%,0.6%,2.6%,-2.1%,-4.9%,-7.9%,-7.2%,-3.0%,-4.7%,-2.3%,-1.2%,-5.3%,-2.3%,-4.2%,-4.8%,-5.1%,-7.0%,-9.3%,-10.1%,-9.9%,-10.4%,-6.9%,-6.5%,-4.8%,-5.3%,-7.5%,-7.9%,-5.7%,-3.7%,-0.6%,1.0%,-2.0%,-0.4%,0.2%,0.5%,2.0%,1.8%,1.7%,2.1%,1.7%,1.4%,1.4%,-1.5%,-0.8%,0.5%,-1.9%,-1.1%,-0.4%,-4.5%,-11.3%,-4.2%,-5.5%,-3.6%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Otros"" incluye ingresos de otros servicios minoristas y otros ingresos de explotación. Los ingresos de Otros a partir del año 2008 incluyen la aportación del Fondo Nacional del Servicio Universal a Telefónica de España contabilizado con criterio de caja. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
