,,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Otros,,91.84,104.44,94.31,0.00,21.85,25.66,42.18,41.54,54.74,61.38,65.32,69.52,54.43,56.56,57.37,60.74,61.80,63.45,63.18,63.32,84.66,85.94,92.43,96.68,95.80,95.84,98.67,106.05,100.72,101.25,101.32,105.83,102.77,107.55,109.42,119.16,139.88,141.61,142.03,138.34,132.01,143.04,161.47,177.19,176.61,203.28,202.50,216.23,212.39,217.71,243.26,244.71,257.12,258.72,261.96,260.24,280.61,300.59,282.74,320.11,410.82,438.00,446.27,475.52,408.46,
,,--,--,--,--,-76.2%,-75.4%,-55.3%,--,150.5%,139.2%,54.9%,67.4%,-0.6%,-7.9%,-12.2%,-12.6%,13.5%,12.2%,10.1%,4.2%,37.0%,35.4%,46.3%,52.7%,13.2%,11.5%,6.8%,9.7%,5.1%,5.6%,2.7%,-0.2%,2.0%,6.2%,8.0%,12.6%,36.1%,31.7%,29.8%,16.1%,-5.6%,1.0%,13.7%,28.1%,33.8%,42.1%,25.4%,22.0%,20.3%,7.1%,20.1%,13.2%,21.1%,18.8%,7.7%,6.3%,9.1%,16.2%,7.9%,23.0%,46.4%,45.7%,57.8%,48.5%,-0.6%,
Total,,1716.53,1909.06,2087.66,0.00,1717.79,1831.92,1861.59,1734.60,1775.51,1845.30,1911.67,1775.49,1717.15,1740.54,1846.52,1673.62,1574.31,1604.62,1681.41,1543.69,1511.16,1542.89,1602.91,1524.46,1513.31,1524.89,1570.48,1517.19,1479.24,1425.15,1485.36,1461.79,1412.97,1435.76,1279.66,1293.08,1298.37,1314.33,1326.34,1321.84,1288.79,1364.03,1459.04,1585.38,1605.01,1764.57,2399.81,2161.23,2034.81,2065.96,2325.87,2275.58,2184.51,2246.89,2322.36,2304.85,2260.38,2357.76,2270.28,2363.90,2353.10,2281.96,2252.15,2444.88,2303.86,
,,--,--,--,--,0.1%,-4.0%,-10.8%,--,3.4%,0.7%,2.7%,2.4%,-3.3%,-5.7%,-3.4%,-5.7%,-8.3%,-7.8%,-8.9%,-7.8%,-4.0%,-3.8%,-4.7%,-1.2%,0.1%,-1.2%,-2.0%,-0.5%,-2.3%,-6.5%,-5.4%,-3.7%,-4.5%,0.7%,-13.8%,-11.5%,-8.1%,-8.5%,3.6%,2.2%,-0.7%,3.8%,10.0%,19.9%,24.5%,29.4%,64.5%,36.3%,26.8%,17.1%,-3.1%,5.3%,7.4%,8.8%,-0.2%,1.3%,3.5%,4.9%,-2.2%,2.6%,4.1%,-3.2%,-0.8%,3.4%,-2.1%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los servicios de banda ancha fija mayorista incluyen los ingresos de alquiler del bucle local. Los ingresos mayoristas incluyen la venta a terceros operadores y la venta a empresas del mismo grupo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
